Title,Location,Land Area,No of Beds,No. of Baths,Price
Ready To Buy A House 600 Square Yards In I-8/3,"I-8/3, I-8",1.2 Kanal,6,6,17 Crore
600 Square Yards House Is Available For sale In I-8,"I-8, Islamabad",1.2 Kanal,6,6,12.75 Crore
Get In Touch Now To Buy A 3200 Square Feet House In I-8,"I-8, Islamabad",14.2 Marla,7,,11 Crore
"F-6,3 Kanal Corner House With Huge Extra Land On Prime Location Available For Sale","F-6, Islamabad",3.2 Kanal,10,6,1.1 Arab
10 Marla Beautiful House Available For Sale,"Bahria Enclave - Sector A, Bahria Enclave",10 Marla,5,6,3.95 Crore
50*90 Brand new house for sale in G11,"G-11, Islamabad",1 Kanal,7,6,17.25 Crore
5 Marla Brand New House Sector - H,"Bahria Enclave - Sector H, Bahria Enclave",5 Marla,3,4,2.25 Crore
Brand New House 05 Marla For Sale Sector H,"Bahria Enclave - Sector H, Bahria Enclave",5 Marla,3,4,2.45 Crore
G 13 Brand New 50x90 Home 1 Kanal Designer Arcitect Gulid Seeing is Believing The Super Class Luxurious lifestyle,"G-13, Islamabad",1 Kanal,7,6,12.95 Crore
1 Kanal Modern House With 6 Bedrooms For Sale Dha 2,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,7,11.9 Crore
Luxurious 1 kanal House In Front of jecranda Club,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,7,11.25 Crore
Prime Location House Of 10 Marla In DHA Defence Phase 2 Is Available For Sale,"DHA Defence Phase 2, DHA Defence",10 Marla,5,5,5.2 Crore
Royal House Of DHA-2,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,,12.25 Crore
Owner Built Grande House DHA-2,"DHA Defence Phase 2, DHA Defence",1 Kanal,8,,11.95 Crore
House For Sale Soan Garden C Block,"Soan Garden - Block C, Soan Garden",8 Marla,6,7,2.3 Crore
House For Sale Jinnah Garden Phase1,"Jinnah Gardens, FECHS",10 Marla,6,6,3.8 Crore
Looking For A House In Naval Anchorage - Block G Islamabad,"Naval Anchorage - Block G, Naval Anchorage",5 Marla,4,4,2.25 Crore
5 Marla House For sale In Naval Anchorage - Block G Islamabad,"Naval Anchorage - Block G, Naval Anchorage",5 Marla,4,4,2.3 Crore
This Is Your Chance To Buy House In Islamabad,"Naval Anchorage - Block G, Naval Anchorage",5 Marla,4,4,2.35 Crore
Spacious 5 Marla House Available For sale In Naval Anchorage - Block G,"Naval Anchorage - Block G, Naval Anchorage",5 Marla,4,4,2.4 Crore
Ready To Buy A House 5 Marla In Islamabad,"Naval Anchorage - Block G, Naval Anchorage",5 Marla,4,4,2.45 Crore
5 Marla House In Central Naval Anchorage - Block G For sale,"Naval Anchorage - Block G, Naval Anchorage",5 Marla,4,4,2.5 Crore
G-13 house for sale size 50*90,"G-13, Islamabad",1 Kanal,8,6,12.5 Crore
Grey Structure,"DHA Phase 1 - Sector F, DHA Defence Phase 1",11 Marla,5,6,3.25 Crore
A DECENT HOUSE/ 980 SQYRDS/ F-7 IS AVAILABLE FOR SALE,"F-7, Islamabad",2 Kanal,8,6,42 Crore
Brand New One Kanal House For Sale at Prime Location,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,11.25 Crore
4 Marla Triple Story House For Sale in D-12 Islamabad,"D-12, Islamabad",4 Marla,7,4,3.4 Crore
Marvelous 1 kanal House in In Dha,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,8.5 Crore
ULTRA LUXURIOUS HOUSE FOR SALE AT PRIME LOCATION,"DHA Defence Phase 2, DHA Defence",1 Kanal,5,6,11.95 Crore
Tripple story Reail picture urgent sell,"G-15/2, G-15",1 Kanal,6,6,5.95 Crore
Facing Park House Of 1800 Square Feet For sale In G-13/3,"G-13/3, G-13",8 Marla,6,7,4.9 Crore
Prime Location 4 Marla Triple Story house,"British Homes Phase 2, British Homes Colony",4 Marla,6,6,1.45 Crore
Beautiful House In Jinnah Garden,"Jinnah Gardens, FECHS",7 Marla,5,6,2.8 Crore
Designer House For Sale,"Jinnah Gardens, FECHS",7 Marla,5,6,3.1 Crore
Brand New House For Sale In B-17 Islamabad,"B-17, Islamabad",8 Marla,4,6,2.75 Crore
1 Kanal Designer House Available for Sale,"Bahria Enclave - Sector C, Bahria Enclave",1 Kanal,5,5,9.2 Crore
8 Marla Brand New Beautiful Front Park House Available For Sale D-12 In Islamabad,"D-12, Islamabad",8 Marla,5,6,7.5 Crore
A+ built Luxury Farmhouse for sale in Gulberg Greens,"Gulberg Greens, Gulberg",4.8 Kanal,6,6,25.5 Crore
5 Marla Semi Double Story Stylish House For Sale in Bani gala islamabad,"Bani Gala, Islamabad",5 Marla,3,4,1.3 Crore
new house for sale i-10/2,"I-10/2, I-10",6 Marla,4,4,3.3 Crore
Investor Rate Front Back Open House,"F-7, Islamabad",2.5 Kanal,8,9,48 Crore
Beautiful Prime Location Liveable House,"F-8, Islamabad",1 Kanal,5,5,20.75 Crore
Brand New 4 Bed 10 Marla House Avaliable,"DHA Phase 2 - Sector J, DHA Defence Phase 2",10 Marla,4,4,5.5 Crore
"Exquisite Elegance Levish Lifestyle in an Amazing House in DHA Phase 2, Islamabad","DHA Defence Phase 2, DHA Defence",1 Kanal,5,5,8.75 Crore
30x60 Brand New House Available for Sale in G13,"G-13, Islamabad",8 Marla,5,6,5.25 Crore
272 Sq Yard Brand New Luxury House available for Sale,"D-12, Islamabad",10.9 Marla,5,7,8.5 Crore
500 Sq Yard Brand New Luxury House Available For Sale In D-12,"D-12, Islamabad",1 Kanal,9,10,16 Crore
272 Sq Yard Street Corner House Available For Sale In D-12,"D-12, Islamabad",10.9 Marla,5,7,11 Crore
Brand New Luxury House available for Sale with 1 Kanal Extra Land,"D-12, Islamabad",14.2 Marla,5,6,16 Crore
Luxury House For Sale In Multi Garden B-17 Islamabad,"MPCHS - Block B, MPCHS - Multi Gardens",1 Kanal,7,6,6.8 Crore
brand new designer 1 kanal 6 bed house,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,8.5 Crore
Looking For A Facing Park House In DHA Phase 2 - Sector D,"DHA Phase 2 - Sector D, DHA Defence Phase 2",1 Kanal,6,6,8.55 Crore
Prime Location 1 Kanal Spacious House Is Available In DHA Phase 2 - Sector G For sale,"DHA Phase 2 - Sector G, DHA Defence Phase 2",1 Kanal,6,6,8.75 Crore
Specious 1 Kanal House For Sale In Dha 2,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,9.25 Crore
Beautiful House For Sale,"Jinnah Gardens, FECHS",7 Marla,5,6,2.7 Crore
Bahria Enlcave Sector A 10 Marla Brand New Designer House House Available For Sale In Prime Location. Reasonable Demand.,"Bahria Enclave - Sector A, Bahria Enclave",10 Marla,5,6,4.78 Crore
Brand New Double Storey Good Location House For Sale,"F-17, Islamabad",1 Kanal,10,6,5.7 Crore
beautiful Spanish house for sale in banigala,"Bani Gala, Islamabad",10 Marla,2,3,1.95 Crore
Sector A Size 10 Marla Brand New Luxury and Park Face House available for Sale,"Bahria Enclave, Bahria Town",10 Marla,5,6,5.4 Crore
1Kanal Fabulous Design Bungalow Up For sale,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,11.2 Crore
Luxurious Designer House at Prime Location of DHA Phase 2 Islamabad,"DHA Phase 2 - Sector E, DHA Defence Phase 2",1 Kanal,6,6,11.25 Crore
Brand New Furnished Cda Transfer House Is For Sale,"F-7, Islamabad",1.2 Kanal,5,6,33 Crore
G-13 House Available 30*60 Brand New 5 Bed With Bath 2 Drawing Room,"G-13, Islamabad",8 Marla,5,5,5.25 Crore
G-13/1 House Available35*70 Brand New 6 Bed With Bath 2 Drawing Dining,"G-13, Islamabad",10 Marla,7,6,7 Crore
6 Marla House For Sale,"Soan Garden - Block E, Soan Garden",6 Marla,4,4,2.65 Crore
7 marla house for sale,"Soan Garden - Block G, Soan Garden",7 Marla,5,6,2.65 Crore
272 Sq Yard Brand New House available for Sale on 70 feet Wide Street,"D-12, Islamabad",10.9 Marla,5,7,8.25 Crore
Park Face And Street Corner House Available For Sale In D-12,"D-12, Islamabad",10.9 Marla,4,6,10.5 Crore
Beautiful Owner Built House Available For Sale,"G-10, Islamabad",6 Marla,4,5,3.85 Crore
Brand New Corner House available for Sale,"D-12, Islamabad",4.4 Marla,3,4,4.75 Crore
Brand New Luxury House available for Sale on 70 Feet Street,"D-12, Islamabad",5.6 Marla,3,4,5.5 Crore
Brand New Luxury House available for Sale,"D-12, Islamabad",5.6 Marla,5,6,5.05 Crore
Brand New Luxury House Available For Sale,"D-12, Islamabad",4.4 Marla,3,4,3.75 Crore
Brand New Luxury House Available For Sale,"D-12, Islamabad",4.4 Marla,3,4,4 Crore
Luxurious Bungalow For Sale,"DHA Phase 5 - Sector A, DHA Defence Phase 5",1 Kanal,5,6,6.8 Crore
2 kanal Luxury villa available sale In Eighteen Islamabad,"Eighteen, Kashmir Highway",2 Kanal,5,7,18.5 Crore
1 Kanal luxury villa available for sale In Eighteen Islamabad,"Eighteen, Kashmir Highway",1 Kanal,5,6,10.5 Crore
sale A House In Islamabad Prime Location,"DHA Homes, DHA Valley",5 Marla,2,2,75 Lakh
1 Kanal Designer House For Sale At Outclass Location,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,8.5 Crore
1 Kanal Brand New Luxury House In Sector C.,"Bahria Enclave - Sector C, Bahria Enclave",1 Kanal,5,6,10 Crore
Ideally Located House For sale In I-8/3 Available,"I-8/3, I-8",14.2 Marla,6,6,9 Crore
D-12/3 Top Location House For Sale (Near D-12 Markaz ),"D-12/3, D-12",5.5 Marla,3,5,4.75 Crore
G-11 Vip House For Sale,"G-11/3, G-11",3.6 Marla,4,4,3.4 Crore
Brand New Slightly Used House For Sale In Soan Garden Block H,"Soan Garden, Islamabad",6 Marla,4,4,2.5 Crore
Fulyl Fitted Villa for Sale in Eighteen Islamabad,"Eighteen, Kashmir Highway",13.1 Marla,,,5.6 Crore
Fulyl Fitted Villa for Sale in Eighteen Islamabad,"Eighteen, Kashmir Highway",1 Kanal,,,10.2 Crore
Swimming Pool Lavish Brand New House Is For Sale,"F-8, Islamabad",2 Kanal,7,8,52 Crore
Ultra Modern Brand New House With Basement Swimming Pool,"F-8, Islamabad",1.8 Kanal,5,6,44.5 Crore
VIP house VIP location,"G-6, Islamabad",10.7 Marla,4,4,9 Crore
G 13 house available 30*60 brand new 5 bed with bath 2 drawing dining 2 TV lounge 2 kitchen 1 sq,"G-13/1, G-13",8 Marla,5,6,5.25 Crore
G 13 house available 40*80 brand new 6 bed,"G-13/1, G-13",14 Marla,6,6,8.6 Crore
Brand New House available for Sale,"D-12, Islamabad",4.4 Marla,3,4,4.15 Crore
400 Sq Yard Owner Built House available for Sale,"E-11, Islamabad",16 Marla,5,6,9.5 Crore
40x80 Size With 1 Kanal Extra Land House Available For Sale,"G-10, Islamabad",14.2 Marla,7,6,10.5 Crore
500 Sq Yard Owner Built House Available For Sale,"E-11/3, E-11",1 Kanal,6,6,13 Crore
Beautiful Luxury House Available For Sale,"E-11/3, E-11",1 Kanal,6,6,13 Crore
500 Sq Yard Beautiful Luxury House available for Sale,"E-11/3, E-11",1 Kanal,6,6,13 Crore
500 Sq Yard Beautiful Luxury House available for Sale,"E-11/3, E-11",1 Kanal,6,6,13 Crore
25x60 Size House Available For Sale In G-8,"G-8, Islamabad",7 Marla,4,5,3.4 Crore
F7 Size 60x100 666 Square Yard Brand New Fully Furnished House 7 Beds With Attached Bathroom Drawing And Dining Tv Lounge Kitchen Servant Quarter,"F-7, Islamabad",1.3 Kanal,7,6,31 Crore
BEST DESIGHNER HOUSE OF DHA2 FOR SALE AT REASONABLE DEMAND,"DHA Phase 2 - Sector B, DHA Defence Phase 2",1 Kanal,6,6,8.5 Crore
1 Kanal Designer House For Sale At Outclass Location,"DHA Defence Phase 2, DHA Defence",1 Kanal,5,6,11.9 Crore
1 KANAL OUTCLASS LOCATION HOUSE FOR SALE,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,5,12 Crore
A LIVEABLE HOUSE/ 2000 SQYRDS/ PROPER CORNER/ MARGALLA ROAD/ F-7/2 IS AVAILABLE FOR SALE,"F-7/2, F-7",4 Kanal,10,6,1.6 Arab
Brand New Luxury 1 Kanal House For Sale,"Soan Garden - Block F, Soan Garden",1 Kanal,8,6,4.8 Crore
1 Kanal Single Storey House North Bani Gala,"Bani Gala, Islamabad",1 Kanal,3,3,2.7 Crore
10 Marla Beautifully Built Single Storey House Available For Sale In Bani Gala,"Bani Gala, Islamabad",10 Marla,2,3,1.95 Crore
House For Sale,"D-12/1, D-12",4 Marla,4,4,4.4 Crore
Triple story House for sale G13 islamabd,"G-13, Islamabad",1 Kanal,9,,12.5 Crore
LUXURY BRAND NEW KANAL DOUBLE UNIT 6 BED HOUSE WITH A+ QUALITY.,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,8.5 Crore
BRAND NEW DOUBLE UNIT FULL HOUSE FOR SALE IN DHA PHASE 2 IN REASONABLE PRICE,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,8.5 Crore
G-13/1 House Available 25x40 Brand New 4 Bed With Bath 2 Tv Lounge 2 Kitchen,"G-13/1, G-13",4.4 Marla,4,4,3.3 Crore
F 8/1 corner house available 80*60 511sy 6 bed bath tile flooring 2 DD 2 TV 2 kitchen,"F-8/3, F-8",1 Kanal,6,6,25 Crore
G 9/3 house available 40*80 tile and wood floors 5 bed bath 2 drawing dining 2 TV lounge 2 kitchen,"G-9/3, G-9",14 Marla,5,6,8.5 Crore
Brand New Modern Luxury 25 X 40 House For Sale In G-13 Islamabad,"G-13/1, G-13",4.4 Marla,4,5,3.2 Crore
Ideal Location Well Maintained House For Sale At Investor Rate,"PWD Housing Society - Block C, PWD Housing Scheme",9.3 Marla,4,6,3 Crore
500 Sq Yard Beautiful Luxury House available for Sale,"E-11/3, E-11",1 Kanal,6,6,13 Crore
"Levish Lifestyle Discover the Epitome of Luxury in DHA Phase 2, Islamabad's Amazing House","DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,11.9 Crore
g-9/4 brand new house for sale,"G-9/4, G-9",6 Marla,4,4,5.8 Crore
DHA DEFENSE PHASE 2 ISLAMABAD SECTOR G,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,7.25 Crore
g-9/3 house for sale,"G-9/3, G-9",14 Marla,5,5,8.5 Crore
Dha 2 Sector-b Furnished Brand New 20 Marla House For Sale,"DHA Phase 2 - Sector B, DHA Defence Phase 2",1 Kanal,5,6,10.8 Crore
g-9/1 out class location house for sale,"G-9/3, G-9",14 Marla,5,5,8.75 Crore
for slae,"E-11/4, E-11",10 Marla,10,,7.5 Crore
Beautiful House with Green Lush Lawn Very Prime Location,"F-7, Islamabad",1.8 Kanal,5,6,40 Crore
Beautiful House Is For Sale In F-6,"F-6, Islamabad",2 Kanal,6,7,41 Crore
New House Is For Sale In F-6,"F-6, Islamabad",2.1 Kanal,6,7,41 Crore
F. 7/1 Decent house 666 square yard prime location close end street single owner cda transfer,"F-7/1, F-7",1.3 Kanal,5,6,36 Crore
BRAND NEW 5 MARLA HOUSE AVAILABLE FOR SALE IN DHA PHASE 2 ISLAMABAD,"DHA Defence Phase 2, DHA Defence",5 Marla,4,4,3.5 Crore
5 Marla House Is Available In Pakistan Town - Phase 1,"Pakistan Town - Phase 1, Pakistan Town",5 Marla,2,3,1.55 Crore
"Demolished House On G-10/4 Main Double Road With Back Open, Ready For Construction","G-10, Islamabad",14 Marla,9,,9 Crore
Gorgeous 1 Kanal House For sale Available In Top City 1,"Top City 1, Islamabad",1 Kanal,6,7,8 Crore
"Stunning 8 Marla House For Sale In D-12/3, Islamabad With Breathtaking Margalla Hills View","D-12/3, D-12",8 Marla,5,6,7.45 Crore
F-7 House for Sale.,"F-7, Islamabad",1.1 Kanal,6,6,32 Crore
"F-7,666 Sq. Yard New House Cda Transfer Margalla Face Available For Sale","F-7, Islamabad",1.3 Kanal,6,6,39 Crore
Good Location Brand New House For Sale,"D-12, Islamabad",1 Kanal,9,6,16.5 Crore
Highly Maintained House Available For Sale At Investor Rate,"National Police Foundation O-9 - Block C, National Police Foundation O-9",5 Marla,4,4,1.65 Crore
Ideal Location Well Maintained House For Sale At Investor Rate,"PWD Housing Society - Block D, PWD Housing Scheme",10 Marla,5,6,3.1 Crore
Triple Storey One Unit Ideally Located Beautiful House For Sale,"G-13/4, G-13",4.4 Marla,3,3,2.99 Crore
7 Marla House Up For Sale,"Jinnah Gardens, FECHS",7 Marla,5,7,2.8 Crore
House For Grabs In 2450 Square Feet G-13,"G-13, Islamabad",10.9 Marla,7,7,7.3 Crore
5 marla brand new house,"Lilly Sector - DHA Homes, DHA Valley - Lilly Sector",5 Marla,2,2,69.5 Lakh
1 Kanal Aesthetic Design Bungalow up for sale,"DHA Defence Phase 2, DHA Defence",1 Kanal,5,6,8.75 Crore
1 Kanal Bangla For Sale at DHA Phase 2,"DHA Defence Phase 2, DHA Defence",1 Kanal,7,6,9.5 Crore
1 kanal full house,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,7.25 Crore
Highted Location Brand New House Available Near McDonald's,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,8.7 Crore
Near Commercial Iqbal Boulevard Brand New House On Investor Price,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,8.8 Crore
Single Unit Luxury New House at Investor Price For Sale,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,8.2 Crore
BRAND NEW KANAL HOUSE IN DHA PHASE 2 ISLAMABAD,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,11.7 Crore
A NEW HOUSE 1244 SQYRDS/ TRIPPLE STOREY/ F-7/2 IS AVAILABLE FOR SALE,"F-7/2, F-7",2.5 Kanal,9,6,46 Crore
A Decent House 2400 Sq Yards F-6/2 Is Available For Sale,"F-6/2, F-6",4.8 Kanal,6,6,1.15 Arab
4 kanal Triple Storey Renovated House For sale In F-7/4,"F-7/4, F-7",4 Kanal,7,,85 Crore
666 Sqyrd Luxury Brand New Triple Storey House Available For Sale F-7,"F-7/1, F-7",1.3 Kanal,7,8,45 Crore
25x40 Brand New Triple Storey House Is Available For Sale In D-12 3  CDA transfer,"D-12/3, D-12",4.4 Marla,5,5,4 Crore
Brand New Luxury House For Sale In D12,"D-12, Islamabad",5 Marla,4,4,5.25 Crore
D-12-3 Double Road Corner With Extra Land House For Sale,"D-12/3, D-12",4.4 Marla,5,5,4.15 Crore
Fair-Priced Prime Location 6 Marla House Available In I-11,"I-11, Islamabad",6 Marla,4,6,3.5 Crore
Double Storey House Is Available For Sale,"Bhara kahu, Islamabad",5 Marla,4,4,1.65 Crore
House for Sale in G15 size 7 marla Double story Brand new house near to markaz best location five options available,"G-15, Islamabad",7 Marla,5,6,3.15 Crore
Good Location Investor Price House For Sale,"D-12, Islamabad",5 Marla,4,4,4.45 Crore
Brand New House For Sale,"D-12, Islamabad",10 Marla,5,5,7.5 Crore
G-13 House For Sale 40x80 Park Side Proper Corner Extra Land very Latest Elevation,"G-13, Islamabad",14.2 Marla,7,7,10 Crore
7 Marla House Available For Sale,"Jinnah Gardens Phase 1, Jinnah Gardens",7 Marla,5,7,3.1 Crore
Brand New House Available For Sale,"Jinnah Gardens Phase 1, Jinnah Gardens",7 Marla,5,6,3.25 Crore
7 Marla House Available For Sale,"Jinnah Gardens, FECHS",7 Marla,5,6,3.2 Crore
Brand New House Available For Sale,"Jinnah Gardens Phase 1, Jinnah Gardens",7 Marla,5,6,3.1 Crore
1 KANAL OUTCLASS LOCATION HOUSE FOR SALE,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,10.85 Crore
1 KANAL DESIGNER HOUSE FOR SALE AT OUTCLASS LOCATION,"DHA Defence Phase 2, DHA Defence",1 Kanal,5,6,11.95 Crore
F-8 New House for sale,"F-8, Islamabad",2 Kanal,6,6,52 Crore
Top Location Southface 1 Kanal Modern House For Sale,"DHA Defence Phase 2, DHA Defence",1 Kanal,5,5,12 Crore
1 Kanal Brand New Single Unit Modern Design House For Sale,"DHA Defence Phase 2, DHA Defence",1 Kanal,5,5,10.8 Crore
Single Unit 1 Kanal Brand New Modern Design House For Sale,"DHA Defence Phase 2, DHA Defence",1 Kanal,5,5,10.8 Crore
Southface Top Location 1 Kanal Modern House For Sale,"DHA Defence Phase 2, DHA Defence",1 Kanal,5,5,12 Crore
1 Kanal Aesthetic Design Bungalow up for sale,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,11.9 Crore
Luxury Brand new 5 Marla Marglla Facing Double Storey House Available For Sale In D-12 1,"D-12/1, D-12",5 Marla,5,5,5 Crore
Sector M 10 Marla Brand New House For Sale,"Bahria Enclave - Sector M, Bahria Enclave",10 Marla,5,5,3.55 Crore
Brand New House With Swimming Pool & Lift Single Owner Cda Transfer,"E-7, Islamabad",1.6 Kanal,6,7,60 Crore
Luxurious 1 kanal brand new house available for sale in dha phase 2,"DHA Defence Phase 2, DHA Defence",1 Kanal,5,6,8.25 Crore
South Face Gracious House Available For Sale,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,10.85 Crore
House For Sale In G-13,"G-13, Islamabad",8 Marla,5,6,5.2 Crore
House Is Available For Sale,"F-6/4, F-6",2.2 Kanal,6,6,36 Crore
House Of 6 Marla In Korang Town Is Available,"Korang Town, Islamabad",6 Marla,5,6,2.5 Crore
A House Of 5 Marla In Islamabad,"Pakistan Town - Phase 1, Pakistan Town",5 Marla,4,5,1.95 Crore
Own A House In 10 Marla Islamabad,"Pakistan Town - Phase 1, Pakistan Town",10 Marla,6,8,3.5 Crore
investor price house for sale,"D-12, Islamabad",4.4 Marla,5,5,3.4 Crore
F6.1 Size 50x140 777 Square Yard Demolish Able House For Sale,"F-6/1, F-6",1.6 Kanal,4,5,28 Crore
7 Marla House Available For Sale,"Jinnah Gardens Phase 1, Jinnah Gardens",7 Marla,5,6,3.1 Crore
brand new House for sale,"G-14/4, G-14",11.1 Marla,6,6,5.95 Crore
brand new House for sale,"G-14, Islamabad",10 Marla,6,6,6 Crore
12 Marla Double Storey Designer House VIP Location Proper Double Unit For Sale,"Bahria Garden City - Zone 1, Bahria Garden City",12 Marla,5,6,5 Crore
7 Marla Double Storey House For Sale,"CBR Town Phase 1, CBR Town",7 Marla,4,5,2.5 Crore
F-8 House for sale,"F-8, Islamabad",2.1 Kanal,6,6,41.75 Crore
Kanal Brand New Designer House For Sale,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,9.7 Crore
Kanal Brand New Designer House For Sale,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,8.3 Crore
Kanal Brand New Designer House For Sale,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,9.2 Crore
Kanal Brand New Designer House For Sale,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,8.7 Crore
Kanal Brand New Designer House For Sale,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,9.5 Crore
Brand New Good Location Luxury 35x70 House For Sale In G-13 Islamabad,"G-13, Islamabad",10.9 Marla,6,6,7.25 Crore
4.4 Marla Brand New Modern Luxury Beautiful House Available For Sale In G-13 Islamabad,"G-13/4, G-13",4.4 Marla,4,5,3.3 Crore
Amazing Designer House For Sale,"DHA Defence Phase 2, DHA Defence",1 Kanal,5,5,12 Crore
G-13 10 Marla 35x70 Brand New Double Storey Luxury House,"G-13, Islamabad",10 Marla,6,6,7.5 Crore
Ultimate Luxury: A Stunning Five Bedroom Designer Home With Spacious Lounge And Kitchen,"DHA Defence Phase 2, DHA Defence",11 Marla,5,6,6.75 Crore
1 kanal Brand New Beautiful and stylish Design House For Sale,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,8.75 Crore
4 Marla House For Sale In D-12 Islamabad,"D-12, Islamabad",4 Marla,4,4,3.8 Crore
4 Marla Beautiful Full House Available for Sale,"G-13/4, G-13",4 Marla,4,5,3.3 Crore
4 Marla Beautiful Full House Available For Sale,"G-13/4, G-13",4 Marla,5,4,3.3 Crore
4 Marla Beautiful Full House Available For Sell,"G-13/4, G-13",4 Marla,4,5,3 Crore
4 Marla Beautiful Full House Available For Sale,"G-13/4, G-13",4 Marla,5,5,3.4 Crore
4 Marla Beautiful Full House Available For Sale,"G-13/4, G-13",4 Marla,5,5,3.5 Crore
"5598 Square Feet House For Sale In Rs. 230,000,000 Only","F-7, Islamabad",1.2 Kanal,6,6,23 Crore
10 Marla Villa In Eighteen - Sector D,"Eighteen, Kashmir Highway",10 Marla,4,3,5.4 Crore
Brand New 5 Marla Double Storey House For Sale,"Pakistan Town, Islamabad",5 Marla,4,5,2.25 Crore
12 Marla Double Story,"Soan Garden, Islamabad",12 Marla,7,6,4.5 Crore
10 Marla Double Story,"PWD Housing Scheme, Islamabad",10 Marla,5,6,3.7 Crore
Beautiful Designer House in B-17,"B-17, Islamabad",5 Marla,4,4,2.25 Crore
9 Marla 2.5 Story Brand New House For Sale,"Soan Garden - Block H, Soan Garden",9 Marla,7,6,3.6 Crore
Brand New 30x60 Double Unit House Available For Sale In G-13,"G-13, Islamabad",8 Marla,5,6,5.25 Crore
1 Kanal Brand New House Near Jinnah Boulevard,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,8.45 Crore
1 Kanal Well Maintained House Of Basement For Sale DHA 2,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,7.9 Crore
Best Ever Designer House Available For Sale DHA 2,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,11.9 Crore
Single Unit Designer House at Low Budget,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,8.8 Crore
Low Budget 1 Kanal Brand New House DHA Phase 2,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,8.85 Crore
Sector H 5 Marla brand new house for sale,"Bahria Enclave - Sector H, Bahria Enclave",5 Marla,3,4,2.45 Crore
Sector N 8 Marla brand new Designer House for sale.,"Bahria Enclave - Sector N, Bahria Enclave",8 Marla,5,5,3.45 Crore
5 Marla Villa Available For Sale In Easy Monthly Instalment,"Park View - Block B, Park View City",5 Marla,4,3,2.6 Crore
Sensational 1 kanal Villa For Sale At Prime Location Of Dha,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,10.8 Crore
Half Kanal Villa For Sale in Eighteen Payment Plan,"Eighteen, Kashmir Highway",10 Marla,4,5,5.45 Crore
house for Sale,"H-13, Islamabad",5 Marla,7,6,1.68 Crore
CORNER WITH UNIQUE LOCATION HOUSE,"F-8, Islamabad",1 Kanal,6,6,27 Crore
Beautiful 10 Marla Modern House for Sale in Zeraj Housing Society,"Zaraj Housing Scheme, Islamabad",10 Marla,5,6,4.85 Crore
House Of 10 Marla For Sale In Top City 1 - Block D,"Top City 1 - Block D, Top City 1",10 Marla,5,6,4.3 Crore
Brand New Luxury 12 Marla House For Sale,"CBR Town Phase 1, CBR Town",12 Marla,6,6,4.8 Crore
2 Sides Corner New House For Sale On Main Margalla Road Islamabad,"F-7/2, F-7",4 Kanal,,,1.6 Arab
G-13 40*80 Brand New House,"G-13, Islamabad",14.2 Marla,6,6,9 Crore
1 Kanal Beautiful Used house up for sale,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,6.75 Crore
1Kanal Fabulous Design Bungalow Up For sale,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,12 Crore
F-8 /4 Corner Old House Available For Sale,"F-8/4, F-8",2 Kanal,8,6,45 Crore
F-7 Margalla Road Size 2000 Square Yard Demolish Able House Available For Sale,"F-7/3, F-7",4 Kanal,6,6,1.3 Arab
F-7/1 Brand New House Available For Sale,"F-7/1, F-7",1.3 Kanal,8,6,42 Crore
F-11 Corner with extra land New Luxurious House On Extremely prime Location Available For sale in Islamabad,"F-11, Islamabad",1 Kanal,6,6,35 Crore
