Title,Location,Land Area,No of Beds,No. of Baths,Price
1 Kanal Lavish House Available For Sale At Prime Location Near Commercial In Islamabad,"F-7, Islamabad",1 Kanal,4,4,25 Crore
Furnished 30 Marla Luxury Triple Unit House With Extra Land For Sale At DHA 2,"DHA Defence Phase 2, DHA Defence",1.5 Kanal,9,10,15 Crore
Dha 2 Best house available for sale,"DHA Defence Phase 2, DHA Defence",1 Kanal,5,6,13 Crore
1 Kanal Aesthetic Design Bungalow up for sale,"DHA Defence Phase 2, DHA Defence",1 Kanal,5,6,11.9 Crore
"5 Marla Double Storey For Sale In Ghauri Town Phase 4b, Islamabad","Ghauri Town Phase 4B, Ghauri Town",5 Marla,4,4,1.4 Crore
Brand New Double Unit House For Sale,"MPCHS - Block F, MPCHS - Multi Gardens",5.6 Marla,5,4,1.8 Crore
Brand New House For Sale I-10/4,"I-10/4, I-10",7 Marla,7,6,5.5 Crore
House for sale i-10-1,"I-10/1, I-10",6 Marla,5,4,3.5 Crore
Beautiful And A Class Construction House 8 Marla For In E Block B17 Islamabad,"B-17, Islamabad",8 Marla,4,6,2.65 Crore
Reasonable 10 Marla House For Sale In River Garden Islamabad,"River Garden, Islamabad",10 Marla,5,5,3.25 Crore
E-7 Brand new house for sale,"E-7, Islamabad",1.6 Kanal,6,6,63 Crore
BRAND NEW DESIGNER HOUSE,"DHA Phase 2 - Sector B, DHA Defence Phase 2",1 Kanal,6,6,10.85 Crore
5 Marla Singal Story House,"Pakistan Town - Phase 1, Pakistan Town",5 Marla,2,3,1.55 Crore
10 Marla Singal Story,"Pakistan Town - Phase 1, Pakistan Town",10 Marla,3,4,2.3 Crore
"Lilly 5Marla Home,A Block Road 2 Ready to Move","Lilly Sector - DHA Homes, DHA Valley - Lilly Sector",5 Marla,2,2,72 Lakh
10 Marla Singal Story,"Pakistan Town - Phase 1, Pakistan Town",10 Marla,3,4,2.3 Crore
F. 8/3 prime location decent house size 2.5 kanal prime location 5 bedroom drawing dining lush green lawn on front and back side cda transfer,"F-8/3, F-8",2.5 Kanal,5,6,45 Crore
Top Location Beautiful House With Best Design For Sale,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,10.8 Crore
Designer Brand New House At Peak Location At DHA 2,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,8.4 Crore
LUXURY BRAND NEW KANAL DOUBLE UNIT 6 BED HOUSE WITH A+ QUALITY.,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,11.7 Crore
Luxury Brand New Kanal Double Unit 6 Bed House A+.,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,11 Crore
luxury kanal corner double unit prime location house,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,8 Crore
Luxury Brand New Kanal Double Unit 6 Bed House With A+,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,12 Crore
F-8 New House for sale,"F-8, Islamabad",2.1 Kanal,6,6,41.75 Crore
1 Kanal Designer Luxury Bungalow For Sale At DHA Phase 2 Islamabad,"DHA Phase 2 - Sector H, DHA Defence Phase 2",1 Kanal,6,,11.9 Crore
Triple Unit Main Boulevard House Available For Sale,"DHA Defence Phase 2, DHA Defence",1 Kanal,8,6,9.4 Crore
Good Location Corner House For Sale,"D-12, Islamabad",14 Marla,5,6,15 Crore
1Kanal Fabulous Design Bungalow Up For sale,"DHA Defence Phase 2, DHA Defence",1 Kanal,5,6,7.9 Crore
Very Reasonable Price Back Open Demolish Able House Is For Sale,"F-6, Islamabad",17.8 Marla,5,5,16.5 Crore
G13 Main Road 40x80 Corner House For Sale At Investor Price,"G-13, Islamabad",14 Marla,9,,9.5 Crore
Lop Cleared Area 7 Marlas Double Storey,"Jinnah Gardens Phase 1, Jinnah Gardens",7 Marla,5,6,3.1 Crore
10 Marla Designer House Up For Sale,"Jinnah Gardens Phase 1, Jinnah Gardens",10 Marla,7,7,3.8 Crore
Designer House Available For Sale,"Jinnah Gardens Phase 1, Jinnah Gardens",10 Marla,4,4,3.45 Crore
Ideal Prime Location House For sale In G-13/2,"G-13/2, G-13",14.2 Marla,6,8,8.5 Crore
Elegant Design Corner 1.2 Kanal New House,"DHA Defence Phase 2, DHA Defence",1.1 Kanal,6,6,11 Crore
Beautiful Solid Construction 1 Kanal House for Sale,"DHA Defence Phase 2, DHA Defence",1 Kanal,7,6,8.45 Crore
A Block Road 8 Marla Brand New Home Is Available For Sale,"Oleander Sector - DHA Homes Block A, DHA Valley - Oleander Sector",8 Marla,4,3,1.65 Crore
"8 Marla, House In A Block Corner Category, Oleander Sector","Oleander Sector - DHA Homes Block A, DHA Valley - Oleander Sector",8 Marla,4,2,1.42 Crore
Beautiful house for sale,"G-13/4, G-13",4.4 Marla,5,5,3.1 Crore
4 Beds Double Storey Brand New House Nice 4 Living,"Jhangi Syedan, Islamabad",3 Marla,4,4,78 Lakh
10 Marla house with basement for sale in Top City block-A Islamabad.,"Top City 1 - Block A, Top City 1",10 Marla,6,6,5 Crore
F-7 Brand new house for sale,"F-7, Islamabad",1.3 Kanal,6,6,45 Crore
F-8 House for sale,"F-8, Islamabad",2.1 Kanal,6,6,42.5 Crore
F-8 House for sale,"F-8, Islamabad",2.1 Kanal,6,6,41.75 Crore
10 Marla proper Basement and Corner House for Sale in Top city,"Top City 1 - Block A, Top City 1",10 Marla,6,6,5 Crore
5 Marla House Is Available For sale,"Naval Anchorage - Block G, Naval Anchorage",5 Marla,4,4,2.5 Crore
5 Marla House Is Available For sale In Naval Anchorage - Block G,"Naval Anchorage - Block G, Naval Anchorage",5 Marla,4,4,2.2 Crore
Reserve A Centrally Located House In Naval Anchorage - Block G,"Naval Anchorage - Block G, Naval Anchorage",5 Marla,4,4,2.2 Crore
Get In Touch Now To Buy A House In Naval Anchorage - Block G,"Naval Anchorage - Block G, Naval Anchorage",5 Marla,4,4,2.2 Crore
1 Kanal Brand New House Available For Sale In Dha 2 Islamabad,"DHA Defence Phase 2, DHA Defence",1 Kanal,5,6,10.5 Crore
New Beautiful 1 kanal House for sale,"DHA Defence Phase 2, DHA Defence",1 Kanal,5,6,9.45 Crore
Artistic Design House,"DHA Defence Phase 2, DHA Defence",1 Kanal,5,6,10.75 Crore
1 Kanal Brand New House Available For Sale In DHA 2 Islamabad,"DHA Defence Phase 2, DHA Defence",1 Kanal,5,6,8.75 Crore
Brand New House for sale in Top City 1- Block A,"Top City 1 - Block A, Top City 1",10 Marla,4,4,4.3 Crore
A Stunning House Is Up For Grabs In Bahria Enclave - Sector C1 Islamabad,"Bahria Enclave - Sector C1, Bahria Enclave",10 Marla,5,6,4.5 Crore
Gray Structure House For Sale,"PECHS - Block K Extension, PECHS",8 Marla,3,3,1.25 Crore
Beautiful Designer House In B-17,"B-17, Islamabad",5 Marla,4,4,2.25 Crore
G-13 Islamabad 35x70 House For Sale Proper Corner Main 50 Feet Road Extra Land Lush Green Lawn,"G-13, Islamabad",10.9 Marla,7,6,7.8 Crore
This Is Your Chance To Buy G 13 House In G-13 Brand New 35x70 Double Road Proper Corner Extra Land Lush Green Lawn,"G-13, Islamabad",14.2 Marla,7,6,7.65 Crore
G-13 35x70 Brand New Luxury House,"G-13, Islamabad",10 Marla,6,6,7 Crore
G-13 30x60 Brand New Double Storey House Available,"G-13, Islamabad",7 Marla,4,4,5.15 Crore
5 Marla Newly Constructed House for Sale in Bahria Enclave Islamabad,"Bahria Enclave - Sector N, Bahria Enclave",5 Marla,3,4,2.35 Crore
f10/2 mane margala Road house Size 666 front open extatra land urgently sale More details contact m naqibrehman 0345 8804179,"F-10/2, F-10",1.3 Kanal,6,6,19 Crore
12 MARLA BRAND NEW DOUBLE STORY HOUSE FOR SALE,"Soan Garden - Block A, Soan Garden",12 Marla,7,6,4.25 Crore
New House Available For Sale,"Top City 1 - Block B, Top City 1",1 Kanal,9,6,7 Crore
Kashmir Highway & New Islamabad International Airport,"Top City 1 - Block A, Top City 1",10 Marla,6,6,5.25 Crore
